breakdown_log_id,machine_id,supervisor_id,breakdown_code,pds,breakdown_time,recovery_time,breakdown_note
1,2,1,1,25020074,2/11/2025 14:42,2/11/2025 15:05,
2,3,1,1,25020135,2/11/2025 18:00,2/11/2025 18:23,
3,3,1,1,25020135,2/11/2025 21:00,2/11/2025 21:23,
4,2,1,1,25020075,2/13/2025 6:00,2/13/2025 6:23,
5,3,1,1,25020142,2/13/2025 6:00,2/13/2025 6:23,
6,3,1,1,25020169,2/13/2025 14:00,2/13/2025 14:23,
7,2,1,1,25020117,2/13/2025 18:00,2/13/2025 18:23,
8,2,1,1,25020117,2/13/2025 21:00,2/13/2025 21:23,
9,2,1,1,25020117,2/13/2025 17:10,2/13/2025 17:33,
10,2,1,1,25020117,2/14/2025 6:00,2/14/2025 6:23,
11,3,1,1,25020142,2/14/2025 11:30,2/14/2025 11:53,
12,2,1,1,25020118,2/14/2025 15:00,2/14/2025 15:23,
13,2,1,1,25020118,2/14/2025 18:00,2/14/2025 18:23,
14,2,1,1,25020118,2/14/2025 21:00,2/14/2025 21:23,
15,2,1,1,25020274,2/15/2025 18:00,2/15/2025 18:23,
16,2,1,1,25020183,2/18/2025 11:00,2/18/2025 11:23,
17,2,1,1,25020183,2/18/2025 11:30,2/18/2025 11:53,
18,2,1,1,25020273,2/19/2025 8:25,2/19/2025 8:48,
19,2,1,1,25020273,2/19/2025 11:00,2/19/2025 11:23,
20,2,1,1,25020409,2/20/2025 11:00,2/20/2025 11:23,
21,3,1,1,25020269,2/20/2025 11:00,2/20/2025 11:23,
22,5,1,1,25020276,2/21/2025 11:00,2/21/2025 11:23,
23,2,1,1,25020109,2/21/2025 9:50,2/21/2025 10:13,
24,2,1,1,25020185,2/22/2025 11:00,2/22/2025 11:23,
25,2,1,1,25020271,2/24/2025 6:00,2/24/2025 6:23,
26,6,1,1,25020387,2/25/2025 8:20,2/25/2025 8:43,
27,2,1,1,25020405,2/26/2025 15:00,2/26/2025 15:23,
28,2,1,1,25020633,3/1/2025 22:00,3/1/2025 22:23,
29,2,1,1,25020546,3/3/2025 11:00,3/3/2025 11:23,
30,2,1,1,25020711,3/4/2025 11:00,3/4/2025 11:23,
31,5,1,1,25020493,3/4/2025 11:00,3/4/2025 11:23,
32,2,1,1,25020630,3/6/2025 6:45,3/6/2025 7:08,
33,5,1,1,25020800,3/6/2025 11:00,3/6/2025 11:23,
34,5,1,1,25020631,3/7/2025 11:00,3/7/2025 11:23,
35,3,1,1,25030026,3/7/2025 11:00,3/7/2025 11:23,
36,5,1,1,25020631,3/7/2025 17:00,3/7/2025 17:23,
37,3,1,1,25030028,3/8/2025 11:00,3/8/2025 11:23,
38,5,1,1,25020825,3/8/2025 11:00,3/8/2025 11:23,
39,3,1,1,25030152,3/8/2025 17:56,3/8/2025 18:19,
40,5,1,1,25020556,3/10/2025 6:00,3/10/2025 6:23,
41,5,1,1,25020825,3/10/2025 18:00,3/10/2025 18:23,
42,3,1,1,25030029,3/10/2025 18:00,3/10/2025 18:23,
43,3,1,1,25030029,3/11/2025 18:00,3/11/2025 18:23,
44,3,1,1,25030176,3/11/2025 21:40,3/11/2025 22:03,
45,5,1,1,25020831,3/11/2025 18:00,3/11/2025 18:23,
46,3,1,1,25030139,3/12/2025 18:00,3/12/2025 18:23,
47,5,1,1,25030092,3/12/2025 18:00,3/12/2025 18:23,
48,2,1,1,25030094,3/13/2025 11:00,3/13/2025 11:23,
49,2,1,1,25030233,3/13/2025 18:00,3/13/2025 18:23,
50,5,1,1,25030210,3/13/2025 18:00,3/13/2025 18:23,
51,2,1,1,25030219,3/14/2025 11:00,3/14/2025 11:23,
52,2,1,1,25030219,3/14/2025 7:40,3/14/2025 8:03,
53,2,1,1,25030219,3/14/2025 7:40,3/14/2025 8:03,
54,2,1,1,25030337,3/15/2025 18:00,3/15/2025 18:23,
55,2,1,1,25030220,3/17/2025 11:00,3/17/2025 11:23,
56,2,1,1,25030220,3/17/2025 18:00,3/17/2025 18:23,
57,3,1,1,25030385,3/17/2025 18:00,3/17/2025 18:23,
58,2,1,1,25020548,3/18/2025 11:00,3/18/2025 11:23,
59,2,1,1,25020548,3/18/2025 11:30,3/18/2025 11:53,
60,3,1,1,25030272,3/18/2025 11:00,3/18/2025 11:23,
61,3,1,1,25030274,3/18/2025 13:40,3/18/2025 14:03,
62,3,1,1,25030274,3/18/2025 13:40,3/18/2025 14:03,
63,3,1,1,25030274,3/18/2025 13:39,3/18/2025 14:02,
64,2,1,1,25020829,3/18/2025 18:00,3/18/2025 18:23,
65,5,1,1,25030377,3/18/2025 18:00,3/18/2025 18:23,
66,5,1,1,25030377,3/18/2025 18:00,3/18/2025 18:23,
67,2,1,1,25020830,3/19/2025 11:00,3/19/2025 11:23,
68,2,1,1,25020830,3/19/2025 18:00,3/19/2025 18:23,
69,2,1,1,25020830,3/19/2025 18:00,3/19/2025 18:23,
70,5,1,1,25030372,3/20/2025 11:59,3/20/2025 12:22,
71,5,1,1,25030439,3/20/2025 12:44,3/20/2025 13:07,
72,2,1,1,25030386,3/20/2025 11:00,3/20/2025 11:23,
73,2,1,1,25030386,3/20/2025 13:00,3/20/2025 13:23,
74,2,1,1,25030387,3/20/2025 22:00,3/20/2025 22:23,
75,2,1,1,25030387,3/21/2025 2:00,3/21/2025 2:23,
76,3,1,1,25030444,3/21/2025 11:00,3/21/2025 11:23,
77,2,1,1,25030391,3/21/2025 11:00,3/21/2025 11:23,
78,2,1,1,25030494,3/21/2025 15:00,3/21/2025 15:23,
79,2,1,1,25030388,3/21/2025 22:00,3/21/2025 22:23,
80,2,1,1,25030388,3/22/2025 2:00,3/22/2025 2:23,
81,2,1,1,25030389,3/22/2025 11:00,3/22/2025 11:23,
82,2,1,1,25030223,3/23/2025 22:00,3/23/2025 22:23,
83,2,1,1,25030498,3/23/2025 2:00,3/23/2025 2:23,
84,2,1,1,25030498,3/24/2025 11:00,3/24/2025 11:23,
85,2,1,1,25030609,3/24/2025 18:00,3/24/2025 18:23,
86,2,1,1,25030459,3/25/2025 11:00,3/25/2025 11:23,
87,2,1,1,25030634,3/25/2025 18:00,3/25/2025 18:23,
88,5,1,1,25030634,3/25/2025 18:30,3/25/2025 18:53,
89,5,1,1,25030634,3/25/2025 18:30,3/25/2025 18:53,
90,2,1,1,25030390,3/26/2025 11:00,3/26/2025 11:23,
91,2,1,1,25030486,3/26/2025 15:00,3/26/2025 15:23,
92,3,1,1,25030684,3/26/2025 18:00,3/26/2025 18:23,
93,2,1,1,25030486,3/26/2025 22:00,3/26/2025 22:23,
94,2,1,1,25030495,3/27/2025 2:00,3/27/2025 2:23,
95,2,1,1,25030776,3/27/2025 11:30,3/27/2025 11:53,
