customer_id,customer_name,contact_phone,contact_email
3,HVBL,100,HVBL@gmail.com
4,GOPAK,200,GOPAK@gmail.com
5,ABIVN,300,ABIVN@gmail.com
6,SHL,400,SHL@gmail.com
7,FGM,500,FGM@gmail.com
8,RKW,600,RKW@gmail.com
9,KBSON,700,KBSON@gmail.com
10,SPARTON,800,SPARTON@gmail.com
11,NIKKISO,900,NIKKISO@gmail.com
12,SHISEIDO,1000,SHISEIDO@gmail.com
13,MASAN-BREWERY,1100,MASAN-BREWERY@gmail.com
14,PANASONIC1,1200,PANASONIC1@gmail.com
15,CBVN,1300,CBVN@gmail.com
16,VIFON,1400,VIFON@gmail.com
17,MASAN-TD,1600,MASAN-TD@gmail.com
18,SONOVA,1700,SONOVA@gmail.com
19,SAPPORO,1800,SAPPORO@gmail.com
20,HOASENBS,1900,HOASENBS@gmail.com
21,MASAN,2000,MASAN@gmail.com
22,TNHOATAN-MP,2100,TNHOATAN-MP@gmail.com
23,NEWTOYO,2200,NEWTOYO@gmail.com
24,COCAVN,2300,COCAVN@gmail.com
