product_id,length,width,unit
1,112000,759,mm
2,11200,759,mm
3,40770,728,mm
4,10000,762,mm
5,10500,806,mm
6,2264,597,mm
7,2264,597,mm
8,1000,572,mm
9,1000,572,mm
10,16000,828,mm
11,156200,601,mm
12,5000,783,mm
13,200,572,mm
14,200,572,mm
15,112000,759,mm
16,240,610,mm
17,240,631,mm
18,210,632,mm
19,210,632,mm
20,29000,821,mm
21,100,509,mm
22,600,509,mm
23,1100,509,mm
24,2200,509,mm
25,100,509,mm
26,1300,509,mm
27,700,509,mm
28,1900,509,mm
29,4010,535,mm
30,4010,535,mm
31,4010,535,mm
32,112000,759,mm
33,4020,526,mm
34,4020,526,mm
35,4020,526,mm
36,4020,526,mm
37,4020,526,mm
38,20000,804,mm
39,1500,837,mm
40,1500,817,mm
41,1500,817,mm
42,1500,817,mm
43,1500,817,mm
44,2800,555,mm
45,2840,555,mm
46,3800,526,mm
47,1400,965,mm
48,984,740,mm
49,2000,596,mm
50,1000,597,mm
51,1000,597,mm
52,922,495,mm
53,20000,561,mm
54,3000,429,mm
55,1325,475,mm
56,3763,791,mm
57,8700,791,mm
58,45,625,mm
59,45,655,mm
60,8730,617,mm
61,30800,821,mm
62,10000,974,mm
63,2000,941,mm
64,1000,1082,mm
65,5000,619,mm
66,900,554,mm
67,92400,821,mm
68,4020,526,mm
69,4020,526,mm
70,3510,688,mm
71,3510,688,mm
72,29000,828,mm
73,25000,762,mm
74,54720,671,mm
75,20,718,mm
76,10000,477,mm
77,12000,943,mm
78,10000,936,mm
79,5000,580,mm
80,685,436,mm
81,1233,824,mm
82,1027,824,mm
83,45,846,mm
84,1270,508,mm
85,987,608,mm
86,30000,804,mm
87,13000,828,mm
88,32000,1016,mm
89,15000,821,mm
90,15000,821,mm
91,10000,821,mm
92,30800,821,mm
93,45,821,mm
94,10000,382,mm
95,8000,412,mm
96,1000,588,mm
97,8000,462,mm
98,1000,820,mm
99,75600,759,mm
100,8000,1016,mm
101,8200,943,mm
102,76000,832,mm
103,59000,821,mm
104,1800,943,mm
105,112000,821,mm
106,10000,890,mm
107,20000,821,mm
108,4010,535,mm
109,4010,535,mm
110,5450,478,mm
111,12000,671,mm
112,3900,634,mm
113,3900,634,mm
114,390,634,mm
115,2610,632,mm
116,2610,632,mm
117,2610,632,mm
118,1240,858,mm
119,1240,858,mm
