production_log_id,pds,machine_id,product_id,leader_id,manager_id,operator_id,supervisor_id,start_time,end_time,product_weight,material_weight,cut_pallet_count,waste_endroll_weight,waste_trim_weight,waste_production_weight,waste_core_weight,returned_material_weight,log_note
817,25030028,3,142,1,1,1,1,3/8/2025 12:03,3/8/2025 13:55,987,1382,21000,17,3,43,8,1200,
739,25030027,3,135,1,1,1,1,3/6/2025 12:43,3/6/2025 14:27,859,1045,7640,5,1,13,0,901,
433,25020505,2,2,1,1,1,1,2/25/2025 16:57,2/25/2025 18:05,648,1483,"18,200",16,4,23,20,1397,
323,25020337,5,72,1,1,1,1,2/21/2025 12:17,2/21/2025 14:45,556,766,"11,700",30,2,35,0,351,
430,25020505,2,2,1,1,1,1,2/25/2025 16:57,2/25/2025 19:24,402,1318,"18,200",16,4,23,20,1234,
871,25030166,3,157,1,1,1,1,3/10/2025 8:42,3/10/2025 10:32,324,1179,1230,0,0,0,4,1063,
1698,25030775,3,320,1,1,1,1,3/27/2025 9:03,3/27/2025 11:15,203,663,910,2,0,3,3,207,
940,25030194,3,167,1,1,1,1,3/11/2025 19:45,3/11/2025 21:58,118,724,950,4,1,2,3,712,
332,25020109,5,73,1,1,1,1,2/21/2025 13:46,2/21/2025 16:37,55,791,"3,950",7,1,9,0,736,
540,25020550,2,94,1,1,1,1,3/1/2025 5:53,3/1/2025 8:03,37,1428,"33,600",25,7,21,36,1354,
541,25020550,2,94,1,1,1,1,3/1/2025 5:53,3/1/2025 7:32,37,1428,"33,600",25,7,21,36,1354,
561,25020633,5,2,1,1,1,1,3/1/2025 15:12,3/1/2025 17:39,15,1565,"21,150",20,4,32,20,1337,
1212,25030385,3,166,1,1,1,1,3/18/2025 8:45,3/18/2025 10:28,14,138,12300,12,1,23,3,98,
1244,25030317,5,226,1,1,1,1,3/18/2025 16:23,3/18/2025 18:01,14,980,750,5,1,26,4,953,
1572,25030765,3,294,1,1,1,1,3/25/2025 12:58,3/25/2025 15:28,10,1145,1480,0,0,5,0,1031,
1167,25030339,3,208,1,1,1,1,3/17/2025 15:31,3/17/2025 17:43,2,147,1030,0,0,0,3,139,
1280,25030424,5,79,1,1,1,1,3/19/2025 10:35,3/19/2025 12:35,2,282,1100,11,2,9,3,252,
414,25020628,2,85,1,1,1,1,2/25/2025 7:16,2/25/2025 10:01,0,1304,"4,320",4,1,10,5,626,
416,25020628,2,85,1,1,1,1,2/25/2025 7:16,2/25/2025 10:10,0,1694,"4,320",4,1,10,5,1664,
1034,25030104,2,180,1,1,1,1,3/14/2025 6:47,3/14/2025 9:37,0,303,200,0,0,0,0,279,
1035,25030104,2,180,1,1,1,1,3/14/2025 6:47,3/14/2025 8:17,0,713,200,0,0,0,0,688,
141,25020285,3,33,1,1,1,1,2/15/2025 19:24,2/15/2025 20:56,0,943,"5,050",0,0,0,0,606,
960,25030178,3,173,1,1,1,1,3/12/2025 7:39,3/12/2025 10:33,0,523,2100,8,3,13,4,510,
906,25020371,5,165,1,1,1,1,3/10/2025 20:09,3/10/2025 22:18,0,956,75,0,0,0,0,946,
907,25020371,5,165,1,1,1,1,3/10/2025 20:09,3/10/2025 22:10,0,"1,159",75,0,0,0,0,"1,152",
1597,25030661,5,299,1,1,1,1,3/25/2025 21:42,3/25/2025 23:16,0,315,550,0,0,0,0,270,
1598,25030661,5,299,1,1,1,1,3/25/2025 21:42,3/25/2025 23:54,0,383,550,0,0,0,0,341,
736,25030005,3,134,1,1,1,1,3/6/2025 12:30,3/6/2025 15:19,1,431,60,0,0,3,0,413,
679,25020330,5,122,1,1,1,1,3/5/2025 10:00,3/5/2025 11:07,1,70,50,1,1,1,0,66,
1376,25030387,2,179,1,1,1,1,3/20/2025 17:51,3/20/2025 20:27,2,"1,548",8650,5,2,12,12,1476,
735,25030005,3,134,1,1,1,1,3/6/2025 12:30,3/6/2025 14:51,2,92,60,0,0,3,0,74,
678,25020330,5,122,1,1,1,1,3/5/2025 10:00,3/5/2025 11:46,2,489,50,1,1,1,0,485,
412,25020233,2,86,1,1,1,1,2/24/2025 21:51,2/24/2025 23:21,3,939,45,2,1,3,0,936,
413,25020233,2,86,1,1,1,1,2/24/2025 21:51,2/24/2025 23:41,3,1550,45,2,1,3,0,1547,
734,25030005,3,133,1,1,1,1,3/6/2025 12:29,3/6/2025 13:49,3,431,60,3,1,3,0,422,
876,25030173,3,159,1,1,1,1,3/10/2025 9:41,3/10/2025 12:16,3,900,920,3,4,6,3,893,
1190,25030193,3,166,1,1,1,1,3/17/2025 20:45,3/17/2025 22:28,3,1266,60,0,0,0,0,1263,
1191,25030193,3,166,1,1,1,1,3/17/2025 20:45,3/17/2025 23:22,3,1393,60,0,0,0,0,1390,
1732,25030269,3,332,1,1,1,1,3/27/2025 21:04,3/27/2025 23:26,3,395,50,3,0,4,0,384,
733,25030005,3,133,1,1,1,1,3/6/2025 12:29,3/6/2025 15:02,4,92,60,3,1,3,0,83,
1620,25030245,3,307,1,1,1,1,3/26/2025 7:07,3/26/2025 9:49,4,284,60,0,0,0,0,280,
1629,25030023,3,147,1,1,1,1,3/26/2025 12:03,3/26/2025 14:14,4,405,80,3,1,5,0,392,
1731,25030269,3,332,1,1,1,1,3/27/2025 21:04,3/27/2025 22:28,4,496,50,3,0,4,0,484,
1232,25030274,3,12,1,1,1,1,3/18/2025 13:37,3/18/2025 16:31,5,368,2450,2,1,6,3,173,
1621,25030245,3,307,1,1,1,1,3/26/2025 7:07,3/26/2025 9:00,5,194,60,0,0,0,0,189,
1628,25030023,3,147,1,1,1,1,3/26/2025 12:03,3/26/2025 13:34,5,178,80,3,1,5,0,163,
1703,25030779,3,322,1,1,1,1,3/27/2025 10:00,3/27/2025 11:19,5,663,910,0,0,0,0,658,
1727,25030808,3,331,1,1,1,1,3/27/2025 18:40,3/27/2025 20:42,5,5,1700,5,2,12,5,0,
1857,25030301,5,347,1,1,1,1,3/31/2025 9:33,3/31/2025 11:25,5,631,80,6,1,4,0,604,
1104,25030152,6,195,1,1,1,1,3/15/2025 12:12,3/15/2025 14:36,5,747,60,0,0,0,0,742,
379,25020235,3,78,1,1,1,1,2/24/2025 9:19,2/24/2025 10:23,6,342,60,1,0,5,0,331,
1405,25030615,3,261,1,1,1,1,3/21/2025 9:07,3/21/2025 11:26,6,83,1000,3,1,5,4,0,
1504,25030022,3,142,1,1,1,1,3/22/2025 17:44,3/22/2025 20:39,6,716,500,3,2,9,0,677,
1144,25030016,5,204,1,1,1,1,3/17/2025 13:42,3/17/2025 16:08,6,907,50,0,0,0,0,633,
1148,25030017,5,37,1,1,1,1,3/17/2025 13:47,3/17/2025 16:34,6,291,50,0,0,0,0,275,
1856,25030301,5,347,1,1,1,1,3/31/2025 9:33,3/31/2025 10:39,6,60,80,6,1,4,0,29,
1861,25030301,5,349,1,1,1,1,3/31/2025 9:41,3/31/2025 12:32,6,954,80,6,1,8,0,924,
1103,25030152,6,195,1,1,1,1,3/15/2025 12:12,3/15/2025 13:46,6,279,60,0,0,0,0,273,
51,25020212,3,8,1,1,1,1,2/13/2025 20:51,2/13/2025 22:08,7,211,100,3,1,3,0,203,
53,25020212,3,9,1,1,1,1,2/13/2025 20:58,2/13/2025 22:22,7,206,100,3,1,3,0,195,
378,25020235,3,78,1,1,1,1,2/24/2025 9:19,2/24/2025 11:50,7,149,60,1,0,5,0,136,
741,25030005,3,136,1,1,1,1,3/6/2025 13:17,3/6/2025 14:55,7,210,60,3,1,4,0,201,
905,25020370,5,164,1,1,1,1,3/10/2025 20:00,3/10/2025 21:17,7,"1,166",75,0,0,0,0,"1,159",
1143,25030016,5,204,1,1,1,1,3/17/2025 13:42,3/17/2025 15:28,7,545,50,0,0,0,0,249,
1147,25030017,5,37,1,1,1,1,3/17/2025 13:47,3/17/2025 14:56,7,284,50,0,0,0,0,265,
50,25020212,3,8,1,1,1,1,2/13/2025 20:51,2/13/2025 22:51,8,469,100,3,1,3,0,465,
52,25020212,3,9,1,1,1,1,2/13/2025 20:58,2/13/2025 22:29,8,464,100,3,1,3,0,461,
790,25030013,3,141,1,1,1,1,3/6/2025 16:07,3/6/2025 18:17,8,1124,70,3,1,8,0,1121,
874,25030062,3,158,1,1,1,1,3/10/2025 9:05,3/10/2025 10:10,8,308,100,3,0,6,0,295,
1503,25030022,3,142,1,1,1,1,3/22/2025 17:44,3/22/2025 18:58,8,1200,500,3,2,9,0,1151,
740,25030005,3,136,1,1,1,1,3/6/2025 13:17,3/6/2025 15:35,9,162,60,3,1,4,0,153,
788,25030016,3,140,1,1,1,1,3/6/2025 16:07,3/6/2025 17:20,9,455,200,0,0,0,0,464,
1163,25030014,3,135,1,1,1,1,3/17/2025 15:00,3/17/2025 16:11,9,826,85,4,2,4,0,805,
903,25020370,5,164,1,1,1,1,3/10/2025 20:00,3/10/2025 22:29,9,966,75,0,0,0,0,956,
1601,25030697,5,300,1,1,1,1,3/25/2025 21:48,3/25/2025 23:05,9,507,2100,11,1,11,3,488,
1858,25030858,5,348,1,1,1,1,3/31/2025 9:37,3/31/2025 11:14,9,448,1100,6,1,11,0,329,
1859,25030858,5,348,1,1,1,1,3/31/2025 9:37,3/31/2025 12:12,9,326,1100,6,1,11,0,209,
1860,25030301,5,349,1,1,1,1,3/31/2025 9:41,3/31/2025 12:07,9,711,80,6,1,8,0,682,
1033,25030103,2,180,1,1,1,1,3/14/2025 6:39,3/14/2025 8:32,10,719,45,5,1,7,0,713,
304,25020008,3,70,1,1,1,1,2/20/2025 14:41,2/20/2025 16:32,10,264,100,2,1,4,0,234,
789,25030013,3,141,1,1,1,1,3/6/2025 16:07,3/6/2025 18:09,10,67,70,3,1,8,0,64,
873,25030062,3,158,1,1,1,1,3/10/2025 9:05,3/10/2025 10:21,10,162,100,3,0,6,0,149,
936,25030007,3,127,1,1,1,1,3/11/2025 19:25,3/11/2025 21:51,10,980,100,4,1,5,0,966,
1811,25030892,3,341,1,1,1,1,3/29/2025 16:45,3/29/2025 18:01,10,10,1700,2,1,6,6,0,
674,25030006,5,121,1,1,1,1,3/5/2025 9:52,3/5/2025 11:19,10,419,50,10,1,3,0,394,
1146,25030016,5,38,1,1,1,1,3/17/2025 13:45,3/17/2025 15:23,10,299,50,3,2,4,0,293,
68,25020164,3,17,1,1,1,1,2/13/2025 21:17,2/13/2025 22:19,11,682,220,0,0,0,0,651,
303,25020008,3,70,1,1,1,1,2/20/2025 14:41,2/20/2025 15:46,11,36,100,2,1,4,0,0,
787,25030016,3,140,1,1,1,1,3/6/2025 16:07,3/6/2025 18:47,11,233,200,0,0,0,0,207,
824,25030006,3,66,1,1,1,1,3/8/2025 12:42,3/8/2025 15:11,11,407,100,0,0,2,0,393,
1162,25030014,3,135,1,1,1,1,3/17/2025 15:00,3/17/2025 16:00,11,772,85,4,2,4,0,745,
1032,25030103,2,180,1,1,1,1,3/14/2025 6:39,3/14/2025 8:48,12,309,45,5,1,7,0,303,
669,25020702,3,119,1,1,1,1,3/5/2025 9:09,3/5/2025 11:43,12,670,250,0,0,0,0,649,
670,25020702,3,119,1,1,1,1,3/5/2025 9:09,3/5/2025 10:13,12,401,250,0,0,0,0,381,
825,25030006,3,66,1,1,1,1,3/8/2025 12:42,3/8/2025 14:47,12,143,100,0,0,2,0,131,
935,25030007,3,127,1,1,1,1,3/11/2025 19:25,3/11/2025 21:44,12,752,100,4,1,5,0,736,
938,25030081,3,166,1,1,1,1,3/11/2025 19:35,3/11/2025 22:21,12,45,200,3,0,4,0,31,
1752,25030719,3,325,1,1,1,1,3/27/2025 14:08,3/27/2025 16:13,12,663,100,0,0,0,0,404,
1145,25030016,5,38,1,1,1,1,3/17/2025 13:45,3/17/2025 16:07,12,293,50,3,2,4,0,284,
1571,25030765,3,294,1,1,1,1,3/25/2025 12:58,3/25/2025 15:53,13,13,1480,0,0,5,0,0,
23,25020077,3,7,1,1,1,1,2/12/2025 17:35,2/12/2025 18:39,14,286,150,3,1,5,0,206,
62,25020162,3,14,1,1,1,1,2/13/2025 21:03,2/13/2025 23:12,14,828,300,3,1,3,0,806,
228,25020170,3,53,1,1,1,1,2/18/2025 19:38,2/18/2025 22:13,14,768,80,5,1,10,0,723,
229,25020170,3,53,1,1,1,1,2/18/2025 19:38,2/18/2025 21:39,14,930,80,5,1,10,0,899,
1089,25030318,3,191,1,1,1,1,3/15/2025 7:20,3/15/2025 9:59,14,"1,072",210,4,1,8,0,1050,
1469,25030069,3,283,1,1,1,1,3/21/2025 20:47,3/21/2025 23:10,14,397,180,3,1,10,0,376,
1506,25030069,3,285,1,1,1,1,3/22/2025 17:46,3/22/2025 18:57,14,376,180,3,2,9,0,354,
1751,25030719,3,325,1,1,1,1,3/27/2025 14:08,3/27/2025 16:36,14,59,100,0,0,0,0,0,
97,25020217,5,23,1,1,1,1,2/14/2025 17:50,2/14/2025 20:26,14,407,150,0,0,0,0,0,
673,25030006,5,121,1,1,1,1,3/5/2025 9:52,3/5/2025 11:11,14,191,50,10,1,3,0,162,
1613,25030565,5,304,1,1,1,1,3/25/2025 22:04,3/25/2025 23:10,14,226,163,6,1,7,0,201,
67,25020164,3,17,1,1,1,1,2/13/2025 21:17,2/13/2025 23:39,15,843,220,0,0,0,0,775,
667,25020702,3,118,1,1,1,1,3/5/2025 9:04,3/5/2025 10:28,15,691,250,3,1,7,0,670,
836,25030004,3,48,1,1,1,1,3/8/2025 15:08,3/8/2025 17:57,15,681,250,4,0,4,0,659,
937,25030081,3,166,1,1,1,1,3/11/2025 19:35,3/11/2025 20:44,15,630,200,3,0,4,0,613,
1422,25030225,3,269,1,1,1,1,3/21/2025 13:18,3/21/2025 14:31,15,648,200,3,1,5,0,621,
1617,25030559,3,305,1,1,1,1,3/26/2025 7:00,3/26/2025 9:50,15,104,250,3,1,5,0,89,
1100,25030094,6,193,1,1,1,1,3/15/2025 12:01,3/15/2025 13:50,15,346,80,10,1,5,0,331,
22,25020077,3,7,1,1,1,1,2/12/2025 17:35,2/12/2025 18:47,16,616,150,3,1,5,0,531,
61,25020162,3,14,1,1,1,1,2/13/2025 21:03,2/13/2025 23:15,16,303,300,3,1,3,0,280,
66,25020163,3,16,1,1,1,1,2/13/2025 21:14,2/13/2025 23:26,16,682,220,4,1,5,0,666,
692,25020680,3,128,1,1,1,1,3/5/2025 13:45,3/5/2025 16:11,16,420,290,4,1,5,0,397,
835,25030004,3,48,1,1,1,1,3/8/2025 15:08,3/8/2025 16:31,16,86,250,4,0,4,0,65,
1088,25030319,3,191,1,1,1,1,3/15/2025 7:17,3/15/2025 8:28,16,1097,260,4,2,8,0,266,
1090,25030318,3,191,1,1,1,1,3/15/2025 7:20,3/15/2025 8:21,16,266,210,4,1,8,0,246,
1468,25030069,3,283,1,1,1,1,3/21/2025 20:47,3/21/2025 22:09,16,267,180,3,1,10,0,244,
1505,25030069,3,285,1,1,1,1,3/22/2025 17:46,3/22/2025 19:06,16,244,180,3,2,9,0,220,
1769,25030907,3,191,1,1,1,1,3/28/2025 21:27,3/28/2025 22:31,16,495,260,3,1,7,0,479,
211,25020225,3,7,1,1,1,1,2/18/2025 13:34,2/18/2025 14:42,17,531,300,0,1,0,0,481,
231,25020171,3,54,1,1,1,1,2/18/2025 20:03,2/18/2025 21:49,17,1126,80,6,0,15,0,1106,
668,25020702,3,118,1,1,1,1,3/5/2025 9:04,3/5/2025 11:22,17,422,250,3,1,7,0,401,
691,25020680,3,128,1,1,1,1,3/5/2025 13:45,3/5/2025 16:32,17,191,290,4,1,5,0,169,
1616,25030559,3,305,1,1,1,1,3/26/2025 7:00,3/26/2025 8:41,17,438,250,3,1,5,0,421,
96,25020217,5,23,1,1,1,1,2/14/2025 17:50,2/14/2025 20:36,17,982,150,0,0,0,0,0,
1615,25030026,5,201,1,1,1,1,3/25/2025 22:06,3/26/2025 0:01,17,633,80,7,1,8,0,592,
969,25030182,3,177,1,1,1,1,3/12/2025 10:20,3/12/2025 12:49,18,647,2100,0,0,0,2,604,
1384,25030525,3,257,1,1,1,1,3/20/2025 21:26,3/20/2025 23:56,18,"1,106",1050,3,0,10,10,1079,
